FEATURE,LOCATION,LOC_CODE,COURT_NUM,LIGHTS,SURFACE_TYPE,YEAR_BUILT,YEAR_RESURF,GLOBALID,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID
Tennis Court,Washington Park - South,711,4,Yes,Post Tension Concrete,2004,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20124,111814
Tennis Court,Washington Park - South,711,5,Yes,Post Tension Concrete,2004,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20125,111815
Tennis Court - Clear Space,Washington Park - Central,711,,,,,2011,{00000000-0000-0000-0000-000000000000},,,,
Basketball Court - Half,Lakewood and Dry Gulch Park,030,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20005,111761
Basketball Court - Full,Lawson (Sonny) Park,208,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20038,111777
Basketball Court - Full,La Alma / Lincoln Park,315,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20155,111839
Basketball Court - Full,Lindsley (Henry S) Park,401,,No,Asphalt,,2012,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20101,111807
Basketball Court - Full,Martin Luther King Jr Park,415,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20039,111778
Basketball Court - Half,Mayfair Park,432,,No,Asphalt,,2013,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20133,111825
Basketball Court - Full,Mestizo Curtis Park,203,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20156,111840
Basketball Court - Half,Observatory Park,818,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20006,111762
Basketball Court - Full,Thomas,L16,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20157,111841
Basketball Court - Half,La Alma / Lincoln Park,315,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20102,111808
Basketball Court - Full,Village Place Park,540,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20007,111556
Basketball Court - Full,Village Place Park,540,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20134,111660
Basketball Court - Half,Washington Park,711,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20158,111679
Basketball Court - Full,Pferdesteller Park,017,,No,Asphalt,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20008,111557
Basketball Court - Half,Platt (James H) Park,824,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20040,111582
Basketball Court - Full,Quick (Lenore B) Park,220,,No,,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20216,111723
Basketball Court - Full,Robinson Park,414,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20135,111661
Basketball Court - Full,Rosamond Park,621,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20217,111724
Basketball Court - Full,Sanchez (Paco) Park,028,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20185,111702
Tennis Court,Berkeley Lake Park,002,8,Yes,,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20077,111615
Tennis Court,Berkeley Lake Park,002,7,Yes,,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20190,111707
Tennis Court,Berkeley Lake Park,002,6,Yes,,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20138,111664
Tennis Court,Berkeley Lake Park,002,5,Yes,,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20226,111733
Tennis Court - Practice Wall,Berkeley Lake Park,002,10,No,,,,{00000000-0000-0000-0000-000000000000},COURT,CT-TENPR,20078,111616
Tennis Court,Berkeley Lake Park,002,2,Yes,,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20043,111585
Tennis Court,Berkeley Lake Park,002,3,Yes,,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20163,111684
Tennis Court,Berkeley Lake Park,002,4,Yes,,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20191,111708
Tennis Court,Berkeley Lake Park,002,1,Yes,,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20044,111586
Tennis Court,Bible (James A) Park,602,1,Yes,Post Tension Concrete,,2013,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20227,111734
Tennis Court,Bible (James A) Park,602,2,Yes,Post Tension Concrete,,2013,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20109,111637
Tennis Court,Bible (James A) Park,602,3,Yes,Post Tension Concrete,,2013,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20045,111587
Tennis Court,Bible (James A) Park,602,4,Yes,Post Tension Concrete,,2013,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20046,111588
Tennis Court,City Park,201,6,Yes,Post Tension Concrete,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20014,111563
Tennis Court,City Park,201,5,Yes,Post Tension Concrete,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20192,111709
Tennis Court,City Park,201,4,Yes,Post Tension Concrete,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20139,111665
Tennis Court,City Park,201,3,Yes,Post Tension Concrete,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20228,111735
Tennis Court,City Park,201,2,Yes,Post Tension Concrete,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20229,111736
Tennis Court,City Park,201,1,Yes,Post Tension Concrete,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20047,111589
Tennis Court,City Park,201,7,Yes,Post Tension Concrete,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20015,111564
Tennis Court,City Park,201,8,Yes,Post Tension Concrete,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20164,111685
Tennis Court,City Park,201,9,Yes,Post Tension Concrete,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20165,111686
Tennis Court,City Park,201,10,Yes,Post Tension Concrete,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20079,111617
Tennis Court,City Park,201,12,Yes,Post Tension Concrete,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20110,111638
Tennis Court,City Park,201,13,Yes,Post Tension Concrete,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20048,111590
Sand Volleyball Court,Garland,728,,,Sand,,,{00000000-0000-0000-0000-000000000000},COURT,CT-SV,20307,111698
Sand Volleyball Court,Gates Crescent,907,,,Sand,,,{00000000-0000-0000-0000-000000000000},COURT,CT-SV,20255,111578
Sand Volleyball Court,Green Valley Ranch East,550,,,Sand,,,{00000000-0000-0000-0000-000000000000},COURT,CT-SV,20283,111653
Sand Volleyball Court,Garland,728,,,Sand,,,{00000000-0000-0000-0000-000000000000},COURT,CT-SV,20271,111627
Sand Volleyball Court,Garland,728,,,Sand,,,{00000000-0000-0000-0000-000000000000},COURT,CT-SV,20263,111600
Sand Volleyball Court,Garland,728,,,Sand,,,{00000000-0000-0000-0000-000000000000},COURT,CT-SV,20284,111654
Horseshoe Pit,Platt Park,824,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20308,111699
Horseshoe Pit,Platt Park,824,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20264,111601
Tennis Court - Practice Wall,Pulaski Park,319,,No,,2008,,{00000000-0000-0000-0000-000000000000},COURT,CT-TENPR,20298,111676
Basketball Court - Half,Ash Grove,751,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20272,111628
Basketball Court - Full,Bible (James A) Park,602,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20285,111655
Basketball Court - Full,Byers & Pecos,831,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20309,111700
Basketball Court - Full,Hirshorn Park,014,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20273,111629
Basketball Court - Full,51st & Broadway,230,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20265,111602
Basketball Court - Full,Columbus Park,004,,No,,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20266,111603
Basketball Court - Full,Dailey Park,713,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20256,111579
Basketball Court - Full,Dunham Park,209,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20274,111630
Basketball Court - Half,Sanderson Gulch Open Space,828,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20218,111725
Basketball Court - Full,Schafer (Martin J) Park,218,,No,Concrete,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20069,111607
Basketball Court - Full,Silverman (Melvin F) Park,534,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20219,111726
Basketball Court - Full,Skyland Park,429,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20103,111631
Basketball Court - Full,Sloans Lake Park,019,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20070,111608
Basketball Court - Full,St Charles Place Park,207,,No,,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20071,111609
Basketball Court - Half,Stout Street Childrens Park,221,,No,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20220,111727
Basketball Court - Half,Sunken Gardens Park,318,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20136,111662
Basketball Court - Full,Valverde Park,834,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20137,111663
